country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2026-02-15,Films,1,This is I,,1
Japan,JP,2026-02-15,Films,2,Cosmic Princess Kaguya!,,4
Japan,JP,2026-02-15,Films,3,Kyojo Reunion,,7
Japan,JP,2026-02-15,Films,4,The Quiet Yakuza～chapter～Ⅴ～,,1
Japan,JP,2026-02-15,Films,5,BAKA’s Identity,,4
Japan,JP,2026-02-15,Films,6,The Quiet Yakuza～chapter～Ⅵ～,,1
Japan,JP,2026-02-15,Films,7,The Quiet Yakuza～chapter～Ⅷ～,,1
Japan,JP,2026-02-15,Films,8,The Quiet Yakuza～chapter～Ⅶ～,,1
Japan,JP,2026-02-15,Films,9,The Quiet Yakuza～chapter～I～,,3
Japan,JP,2026-02-15,Films,10,Even If This Love Disappears Tonight,,2
Japan,JP,2026-02-15,TV,1,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,6
Japan,JP,2026-02-15,TV,2,Frieren: Beyond Journey's End,Frieren: Beyond Journey's End: Season 2,4
Japan,JP,2026-02-15,TV,3,Silent Truth,Silent Truth: Season 1,5
Japan,JP,2026-02-15,TV,4,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 2,4
Japan,JP,2026-02-15,TV,5,【OSHI NO KO】,【OSHI NO KO】: Season 3,4
Japan,JP,2026-02-15,TV,6,The Art of Sarah,The Art of Sarah: Limited Series,1
Japan,JP,2026-02-15,TV,7,"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible","The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible: Season 1",2
Japan,JP,2026-02-15,TV,8,You and I Are Polar Opposites,You and I Are Polar Opposites: Season 1,4
Japan,JP,2026-02-15,TV,9,Single's Inferno Reunion,Single's Inferno Reunion: Limited Series,1
Japan,JP,2026-02-15,TV,10,Single’s Inferno,Single’s Inferno: Season 5,4
Japan,JP,2026-02-08,Films,1,BAKA’s Identity,,3
Japan,JP,2026-02-08,Films,2,Cosmic Princess Kaguya!,,3
Japan,JP,2026-02-08,Films,3,Even If This Love Disappears Tonight,,1
Japan,JP,2026-02-08,Films,4,The Bird Is Calling,,1
Japan,JP,2026-02-08,Films,5,SHAM,,5
Japan,JP,2026-02-08,Films,6,Till We Meet Again on the Lily Hill,,1
Japan,JP,2026-02-08,Films,7,Kyojo Reunion,,6
Japan,JP,2026-02-08,Films,8,100 Meters,,6
Japan,JP,2026-02-08,Films,9,Akogare Wo Koeta Samurai,,2
Japan,JP,2026-02-08,Films,10,Nemesis,,1
Japan,JP,2026-02-08,TV,1,"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible","The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible: Season 1",1
Japan,JP,2026-02-08,TV,2,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,5
Japan,JP,2026-02-08,TV,3,Frieren: Beyond Journey's End,Frieren: Beyond Journey's End: Season 2,3
Japan,JP,2026-02-08,TV,4,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 2,3
Japan,JP,2026-02-08,TV,5,Silent Truth,Silent Truth: Season 1,4
Japan,JP,2026-02-08,TV,6,【OSHI NO KO】,【OSHI NO KO】: Season 3,3
Japan,JP,2026-02-08,TV,7,Single’s Inferno,Single’s Inferno: Season 5,3
Japan,JP,2026-02-08,TV,8,The Boyfriend,The Boyfriend: Season 2,4
Japan,JP,2026-02-08,TV,9,Starto Countdown 2025→2026,Starto Countdown 2025→2026: Season 1,4
Japan,JP,2026-02-08,TV,10,You and I Are Polar Opposites,You and I Are Polar Opposites: Season 1,3
Japan,JP,2026-02-01,Films,1,BAKA’s Identity,,2
Japan,JP,2026-02-01,Films,2,Cosmic Princess Kaguya!,,2
Japan,JP,2026-02-01,Films,3,Matsumoto Seicho's Glass Castle,,1
Japan,JP,2026-02-01,Films,4,Bad Boys: Ride or Die,,1
Japan,JP,2026-02-01,Films,5,SHAM,,4
Japan,JP,2026-02-01,Films,6,Matsumoto Seicho's Kao,,1
Japan,JP,2026-02-01,Films,7,Kyojo Reunion,,5
Japan,JP,2026-02-01,Films,8,Siblings of the Cape,,1
Japan,JP,2026-02-01,Films,9,Akogare Wo Koeta Samurai,,1
Japan,JP,2026-02-01,Films,10,100 Meters,,5
Japan,JP,2026-02-01,TV,1,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,4
Japan,JP,2026-02-01,TV,2,Frieren: Beyond Journey's End,Frieren: Beyond Journey's End: Season 2,2
Japan,JP,2026-02-01,TV,3,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 2,2
Japan,JP,2026-02-01,TV,4,Silent Truth,Silent Truth: Season 1,3
Japan,JP,2026-02-01,TV,5,【OSHI NO KO】,【OSHI NO KO】: Season 3,2
Japan,JP,2026-02-01,TV,6,Single’s Inferno,Single’s Inferno: Season 5,2
Japan,JP,2026-02-01,TV,7,The Boyfriend,The Boyfriend: Season 2,3
Japan,JP,2026-02-01,TV,8,Starto Countdown 2025→2026,Starto Countdown 2025→2026: Season 1,3
Japan,JP,2026-02-01,TV,9,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,2
Japan,JP,2026-02-01,TV,10,You and I Are Polar Opposites,You and I Are Polar Opposites: Season 1,2
Japan,JP,2026-01-25,Films,1,The Rip,,2
Japan,JP,2026-01-25,Films,2,BAKA’s Identity,,1
Japan,JP,2026-01-25,Films,3,SHAM,,3
Japan,JP,2026-01-25,Films,4,Cosmic Princess Kaguya!,,1
Japan,JP,2026-01-25,Films,5,Kyojo Reunion,,4
Japan,JP,2026-01-25,Films,6,Black Jack,,2
Japan,JP,2026-01-25,Films,7,Rude to Love,,1
Japan,JP,2026-01-25,Films,8,100 Meters,,4
Japan,JP,2026-01-25,Films,9,Baragaki Unbroken Samurai,,1
Japan,JP,2026-01-25,Films,10,Jujutsu Kaisen 0: The Movie,,15
Japan,JP,2026-01-25,TV,1,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,3
Japan,JP,2026-01-25,TV,2,Frieren: Beyond Journey's End,Frieren: Beyond Journey's End: Season 2,1
Japan,JP,2026-01-25,TV,3,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 2,1
Japan,JP,2026-01-25,TV,4,Silent Truth,Silent Truth: Season 1,2
Japan,JP,2026-01-25,TV,5,【OSHI NO KO】,【OSHI NO KO】: Season 3,1
Japan,JP,2026-01-25,TV,6,Single’s Inferno,Single’s Inferno: Season 5,1
Japan,JP,2026-01-25,TV,7,The Boyfriend,The Boyfriend: Season 2,2
Japan,JP,2026-01-25,TV,8,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,1
Japan,JP,2026-01-25,TV,9,A Gatherer's Adventure in Isekai,A Gatherer's Adventure in Isekai: Season 1,1
Japan,JP,2026-01-25,TV,10,You and I Are Polar Opposites,You and I Are Polar Opposites: Season 1,1
Japan,JP,2026-01-18,Films,1,SHAM,,2
Japan,JP,2026-01-18,Films,2,Kyojo Reunion,,3
Japan,JP,2026-01-18,Films,3,100 Meters,,3
Japan,JP,2026-01-18,Films,4,Black Jack,,1
Japan,JP,2026-01-18,Films,5,The Rip,,1
Japan,JP,2026-01-18,Films,6,Matched,,2
Japan,JP,2026-01-18,Films,7,Monster Hunter,,3
Japan,JP,2026-01-18,Films,8,Jujutsu Kaisen 0: The Movie,,14
Japan,JP,2026-01-18,Films,9,Monster,,3
Japan,JP,2026-01-18,Films,10,KPop Demon Hunters,,29
Japan,JP,2026-01-18,TV,1,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,2
Japan,JP,2026-01-18,TV,2,Silent Truth,Silent Truth: Season 1,1
Japan,JP,2026-01-18,TV,3,The Boyfriend,The Boyfriend: Season 2,1
Japan,JP,2026-01-18,TV,4,Starto Countdown 2025→2026,Starto Countdown 2025→2026: Season 1,2
Japan,JP,2026-01-18,TV,5,timelesz project -REAL-,timelesz project -REAL-: Season 1,2
Japan,JP,2026-01-18,TV,6,Fire Force,Fire Force: Season 3 Part 2,1
Japan,JP,2026-01-18,TV,7,Badly in Love,Badly in Love: Season 1,6
Japan,JP,2026-01-18,TV,8,"Jack-of-All-Trades, Party of None","Jack-of-All-Trades, Party of None: Season 1",2
Japan,JP,2026-01-18,TV,9,MF Ghost,MF Ghost: Season 3,1
Japan,JP,2026-01-18,TV,10,Sounds of Winter,Sounds of Winter: Season 1,1
Japan,JP,2026-01-11,Films,1,SHAM,,1
Japan,JP,2026-01-11,Films,2,Kyojo Reunion,,2
Japan,JP,2026-01-11,Films,3,100 Meters,,2
Japan,JP,2026-01-11,Films,4,Monster Hunter,,2
Japan,JP,2026-01-11,Films,5,Matched,,1
Japan,JP,2026-01-11,Films,6,Monster,,2
Japan,JP,2026-01-11,Films,7,10DANCE,,4
Japan,JP,2026-01-11,Films,8,The Great Flood,,4
Japan,JP,2026-01-11,Films,9,Ghost Book,,1
Japan,JP,2026-01-11,Films,10,Cloud,,3
Japan,JP,2026-01-11,TV,1,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,1
Japan,JP,2026-01-11,TV,2,Starto Countdown 2025→2026,Starto Countdown 2025→2026: Season 1,1
Japan,JP,2026-01-11,TV,3,Sentenced To Be a Hero,Sentenced To Be a Hero: Season 1,1
Japan,JP,2026-01-11,TV,4,timelesz project -REAL-,timelesz project -REAL-: Season 1,1
Japan,JP,2026-01-11,TV,5,Badly in Love,Badly in Love: Season 1,5
Japan,JP,2026-01-11,TV,6,"Jack-of-All-Trades, Party of None","Jack-of-All-Trades, Party of None: Season 1",1
Japan,JP,2026-01-11,TV,7,It Is My Husband,It Is My Husband: Season 1,1
Japan,JP,2026-01-11,TV,8,Tamon’s B-Side,Tamon’s B-Side: Season 1,1
Japan,JP,2026-01-11,TV,9,SHIBOYUGI: Playing Death Games to Put Food on the Table,SHIBOYUGI: Playing Death Games to Put Food on the Table: Season 1,1
Japan,JP,2026-01-11,TV,10,Idol I,Idol I: 시즌 1,3
Japan,JP,2026-01-04,Films,1,Kyojo Reunion,,1
Japan,JP,2026-01-04,Films,2,100 Meters,,1
Japan,JP,2026-01-04,Films,3,The Great Flood,,3
Japan,JP,2026-01-04,Films,4,10DANCE,,3
Japan,JP,2026-01-04,Films,5,Cloud,,2
Japan,JP,2026-01-04,Films,6,Monster Hunter,,1
Japan,JP,2026-01-04,Films,7,KPop Demon Hunters,,28
Japan,JP,2026-01-04,Films,8,Muroi Shinji: Stay Alive,,3
Japan,JP,2026-01-04,Films,9,Monster,,1
Japan,JP,2026-01-04,Films,10,Anpanman: Baikinman and Lulun in the Picture Book,,3
Japan,JP,2026-01-04,TV,1,Badly in Love,Badly in Love: Season 1,4
Japan,JP,2026-01-04,TV,2,Stranger Things,Stranger Things 5,4
Japan,JP,2026-01-04,TV,3,Cashero,Cashero: Limited Series,1
Japan,JP,2026-01-04,TV,4,Last Samurai Standing,Last Samurai Standing: Season 1,8
Japan,JP,2026-01-04,TV,5,Idol I,Idol I: 시즌 1,2
Japan,JP,2026-01-04,TV,6,Campfire Cooking in Another World with My Absurd Skill,Campfire Cooking in Another World with My Absurd Skill: Season 2,11
Japan,JP,2026-01-04,TV,7,Scandal Eve,Scandal Eve: Season 1,7
Japan,JP,2026-01-04,TV,8,One-Punch Man,One-Punch Man: Season 3,8
Japan,JP,2026-01-04,TV,9,SPY x FAMILY,SPY x FAMILY: Season 3,13
Japan,JP,2026-01-04,TV,10,Inspector DAIMAJIN,Inspector DAIMAJIN: Season 1,1
Japan,JP,2025-12-28,Films,1,The Great Flood,,2
Japan,JP,2025-12-28,Films,2,10DANCE,,2
Japan,JP,2025-12-28,Films,3,Muroi Shinji: Stay Alive,,2
Japan,JP,2025-12-28,Films,4,Harry Potter and the Sorcerer's Stone,,33
Japan,JP,2025-12-28,Films,5,Anpanman: Baikinman and Lulun in the Picture Book,,2
Japan,JP,2025-12-28,Films,6,Dr. Seuss' The Grinch,,5
Japan,JP,2025-12-28,Films,7,KPop Demon Hunters,,27
Japan,JP,2025-12-28,Films,8,Cloud,,1
Japan,JP,2025-12-28,Films,9,Ordinary Angels,,1
Japan,JP,2025-12-28,Films,10,Harry Potter and the Chamber of Secrets,,17
Japan,JP,2025-12-28,TV,1,Badly in Love,Badly in Love: Season 1,3
Japan,JP,2025-12-28,TV,2,Scandal Eve,Scandal Eve: Season 1,6
Japan,JP,2025-12-28,TV,3,Idol I,Idol I: 시즌 1,1
Japan,JP,2025-12-28,TV,4,Stranger Things,Stranger Things 5,3
Japan,JP,2025-12-28,TV,5,Dynamite Kiss,Dynamite Kiss: Limited Series,7
