country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
Japan,JP,2026-02-15,Films,1,This is I,,1,1570282.0,movie,This Is I,Drama|Music,130.0,2026-02-10,7.167,12.0,6.2516,ja,JP,0.0,0.0,Haruki Mochizuki|Shido Nakamura|Takumi Saitoh|Seiji Chihara|Tae Kimura,2.7,Yusaku Matsumoto,,,Released,5.0,0,1,0,20
Japan,JP,2026-02-15,Films,2,Cosmic Princess Kaguya!,,4,1575337.0,movie,Cosmic Princess Kaguya!,Animation|Fantasy|Music|Science Fiction,141.0,2026-01-22,8.3,50.0,17.729,ja,JP,0.0,0.0,Yoshitsugu Matsuoka|Saori Hayami|Maaya Sakamoto|Kenichi Suzumura|Natsuki Hanae,3.43,Shingo Yamashita,,,Released,24.0,0,1,0,20
Japan,JP,2026-02-15,Films,3,Kyojo Reunion,,7,1557886.0,movie,Kyojo Reunion,Drama,150.0,2026-03-19,0.0,0.0,1.0926,ja,JP,0.0,0.0,Takuya Kimura|Ren Meguro|Eiji Akaso|Shota Sometani|Kyoko Saito,2.38,Isamu Nakae,,,Released,-32.0,0,1,0,20
Japan,JP,2026-02-15,Films,4,The Quiet Yakuza～chapter～Ⅴ～,,1,,,,,,,,,,,,,,,,,,,,,0,1,0,20
Japan,JP,2026-02-15,Films,5,BAKA’s Identity,,4,1466302.0,movie,BAKA's Identity,Crime|Drama|Thriller,130.0,2025-10-24,7.4,5.0,1.464,ja,JP,0.0,20784.0,Go Ayano|Yoshiyuki Yamaguchi|Yuma Yamoto|Haruka Kinami|Mizuki Yamashita,1.34,Koto Nagata,,,Released,114.0,0,1,0,20
Japan,JP,2026-02-15,Films,6,The Quiet Yakuza～chapter～Ⅵ～,,1,,,,,,,,,,,,,,,,,,,,,0,1,0,20
Japan,JP,2026-02-15,Films,7,The Quiet Yakuza～chapter～Ⅷ～,,1,,,,,,,,,,,,,,,,,,,,,0,1,0,20
Japan,JP,2026-02-15,Films,8,The Quiet Yakuza～chapter～Ⅶ～,,1,,,,,,,,,,,,,,,,,,,,,0,1,0,20
Japan,JP,2026-02-15,Films,9,The Quiet Yakuza～chapter～I～,,3,,,,,,,,,,,,,,,,,,,,,0,1,0,20
Japan,JP,2026-02-15,Films,10,Even If This Love Disappears Tonight,,2,1466115.0,movie,Even If This Love Disappears Tonight,Romance|Drama,106.0,2025-12-24,8.074,68.0,23.0779,ko,KR,0.0,5516015.0,Choo Young-woo|Jin Ho-eun|Yun Ki-chang|Jang Yoo-sang|Cho Han-cheul,1.53,Kim Hye-young,,,Released,53.0,1,1,0,20
Japan,JP,2026-02-15,TV,1,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,6,95479.0,tv,JUJUTSU KAISEN,Animation|Action & Adventure|Sci-Fi & Fantasy,24.0,2020-10-03,8.56,4197.0,185.2808,ja,JP,,,,0.0,,1.0,59.0,Returning Series,1961.0,0,3,1,20
Japan,JP,2026-02-15,TV,2,Frieren: Beyond Journey's End,Frieren: Beyond Journey's End: Season 2,4,209867.0,tv,Frieren: Beyond Journey's End,Animation|Action & Adventure|Drama|Sci-Fi & Fantasy,25.0,2023-09-29,8.771,698.0,91.4523,ja,JP,,,Hiroki Touchi|Atsumi Tanezaki|Nobuhiko Okamoto|Kana Ichinose|Yoji Ueda,1.75,Kanehito Yamada|Keiichiro Saito|Tsukasa Abe,1.0,39.0,Returning Series,870.0,0,2,1,20
Japan,JP,2026-02-15,TV,3,Silent Truth,Silent Truth: Season 1,5,306207.0,tv,Silent Truth,Mystery,,2026-01-13,7.0,1.0,6.2546,ja,JP,,,Noriko Eguchi|Sayuri Inoue|Ryoma Takeuchi|Kana Kita|Mao Inoue,1.35,,1.0,9.0,Returning Series,33.0,0,1,0,20
Japan,JP,2026-02-15,TV,4,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 2,4,117465.0,tv,Hell's Paradise,Animation|Action & Adventure|Sci-Fi & Fantasy,25.0,2023-04-01,8.142,394.0,69.7477,ja,JP,,,Rie Takahashi|Yumiri Hanamori|Konomi Kohara|Ryohei Kimura|Daiki Yamashita,2.33,Yuji Kaku,1.0,25.0,Returning Series,1051.0,0,2,1,20
Japan,JP,2026-02-15,TV,5,【OSHI NO KO】,【OSHI NO KO】: Season 3,4,203737.0,tv,【OSHI NO KO】,Animation|Drama,,2023-04-12,8.343,299.0,37.3041,ja,JP,,,Manaka Iwami|Kent Ito|Takeo Otsuka|Rumi Okubo|Megumi Han,1.83,,1.0,35.0,Returning Series,1040.0,0,3,1,20
Japan,JP,2026-02-15,TV,6,The Art of Sarah,The Art of Sarah: Limited Series,1,273977.0,tv,The Art of Sarah,Crime|Mystery|Drama,45.0,2026-02-13,8.0,18.0,132.0229,ko,KR,,,Shin Hye-sun|Kim Jae-won|Park Bo-kyung|Jung Da-bin|Lee Jun-hyuk,3.46,Kim Jin-min|Chu Song-yeon,1.0,8.0,Ended,2.0,1,1,0,20
Japan,JP,2026-02-15,TV,7,"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible","The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible: Season 1",2,250598.0,tv,"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible",Action & Adventure|Animation|Sci-Fi & Fantasy,24.0,2024-07-02,7.944,89.0,6.8513,ja,JP,,,Katsuyuki Konishi|Misaki Kuno|Kenta Miyake|Saori Onishi|Ryuho Nagaoka,2.39,,1.0,12.0,Ended,593.0,0,1,0,20
Japan,JP,2026-02-15,TV,8,You and I Are Polar Opposites,You and I Are Polar Opposites: Season 1,4,278043.0,tv,You and I Are Polar Opposites,Animation|Comedy,24.0,2026-01-11,8.7,13.0,18.9613,ja,JP,,,Tomori Kusunoki|Sayumi Suzushiro|Miyuri Shimabukuro|Shogo Sakata|Wataru Katoh,1.23,,1.0,12.0,Returning Series,35.0,0,1,0,20
Japan,JP,2026-02-15,TV,9,Single's Inferno Reunion,Single's Inferno Reunion: Limited Series,1,313995.0,tv,Single's Inferno Reunion,Reality,,2026-02-14,7.7,10.0,3.7977,ko,,,,,0.0,,1.0,6.0,Ended,1.0,1,1,0,20
Japan,JP,2026-02-15,TV,10,Single’s Inferno,Single’s Inferno: Season 5,4,139798.0,tv,Single's Inferno,Reality|Comedy|Talk,60.0,2021-12-18,7.724,85.0,26.3693,ko,KR,,,Jo Yi-geon|Dex|Lee Da-hee|Hong Jin-kyung|Hanhae,2.58,Kim Jae-won|Kim Na-hyun,5.0,53.0,Returning Series,1520.0,1,5,1,20
Japan,JP,2026-02-08,Films,1,BAKA’s Identity,,3,1466302.0,movie,BAKA's Identity,Crime|Drama|Thriller,130.0,2025-10-24,7.4,5.0,1.464,ja,JP,0.0,20784.0,Go Ayano|Yoshiyuki Yamaguchi|Yuma Yamoto|Haruka Kinami|Mizuki Yamashita,1.34,Koto Nagata,,,Released,107.0,0,1,0,20
Japan,JP,2026-02-08,Films,2,Cosmic Princess Kaguya!,,3,1575337.0,movie,Cosmic Princess Kaguya!,Animation|Fantasy|Music|Science Fiction,141.0,2026-01-22,8.3,50.0,17.729,ja,JP,0.0,0.0,Yoshitsugu Matsuoka|Saori Hayami|Maaya Sakamoto|Kenichi Suzumura|Natsuki Hanae,3.43,Shingo Yamashita,,,Released,17.0,0,1,0,20
Japan,JP,2026-02-08,Films,3,Even If This Love Disappears Tonight,,1,1466115.0,movie,Even If This Love Disappears Tonight,Romance|Drama,106.0,2025-12-24,8.074,68.0,23.0779,ko,KR,0.0,5516015.0,Choo Young-woo|Jin Ho-eun|Yun Ki-chang|Jang Yoo-sang|Cho Han-cheul,1.53,Kim Hye-young,,,Released,46.0,1,1,0,20
Japan,JP,2026-02-08,Films,4,The Bird Is Calling,,1,1530325.0,movie,The Bird Is Calling,Drama|Mystery|Horror,0.0,2025-10-03,9.5,2.0,0.3731,ja,JP,0.0,0.0,Yumi Aso|Koshi Mizukami|Misato Morita|Ryota Miyadate|Masao Adachi,1.71,Katsuhide Motoki,,,Released,128.0,0,1,0,20
Japan,JP,2026-02-08,Films,5,SHAM,,5,545368.0,movie,Sham,Drama|Romance,50.0,1921-05-05,0.0,0.0,0.1596,en,US,0.0,0.0,Ethel Clayton|Carrie Clark Ward|Sylvia Ashton|Theodore Roberts|Helen Dunbar,0.54,Thomas N. Heffron,,,Released,38265.0,0,1,0,20
Japan,JP,2026-02-08,Films,6,Till We Meet Again on the Lily Hill,,1,1153325.0,movie,Till We Meet Again on the Lily Hill,War|Romance|History,127.0,2023-12-08,6.8,10.0,0.8123,ja,JP,0.0,0.0,Koshi Mizukami|Haruka Fukuhara|Keiko Matsuzaka|Hayato Onozuka|Natsuki Deguchi,1.34,Yoichi Narita,,,Released,793.0,0,1,0,20
Japan,JP,2026-02-08,Films,7,Kyojo Reunion,,6,1557886.0,movie,Kyojo Reunion,Drama,150.0,2026-03-19,0.0,0.0,1.0926,ja,JP,0.0,0.0,Takuya Kimura|Ren Meguro|Eiji Akaso|Shota Sometani|Kyoko Saito,2.38,Isamu Nakae,,,Released,-39.0,0,1,0,20
