country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
South Korea,KR,2026-02-15,Films,1,Even If This Love Disappears Tonight,,2,English,1466115.0,movie,Even If This Love Disappears Tonight,Romance|Drama,106.0,2025-12-24,8.074,68.0,23.0779,ko,KR,0.0,5516015.0,Choo Young-woo|Jin Ho-eun|Yun Ki-chang|Jang Yoo-sang|Cho Han-cheul,1.53,Kim Hye-young,,,Released,53.0,1,1,0,20
South Korea,KR,2026-02-15,Films,2,No Other Choice,,3,English,639988.0,movie,No Other Choice,Crime|Thriller|Comedy,139.0,2025-09-24,7.598,691.0,38.0304,ko,KR|FR,12200000.0,36314308.0,Park Hee-soon|Lee Byung-hun|Son Ye-jin|Yoo Yeon-seok|Kwon Hyuk,2.99,Park Chan-wook,,,Released,144.0,1,1,0,20
South Korea,KR,2026-02-15,Films,3,Noah,,1,English,86834.0,movie,Noah,Drama|Adventure,138.0,2014-03-07,5.673,6516.0,8.3068,en,US,125000000.0,362600000.0,Jennifer Connelly|Emma Watson|Anthony Hopkins|Logan Lerman|Russell Crowe,5.98,Darren Aronofsky,,,Released,4363.0,0,1,0,20
South Korea,KR,2026-02-15,Films,4,Missing You,,5,English,390433.0,movie,Missing You,Crime|Thriller,108.0,2016-03-10,7.16,78.0,6.9126,ko,KR,0.0,0.0,Kim Won-hae|Shim Eun-kyung|Jung Hae-kyun|Lee Gap-seon|Jung Chan-hoon,1.38,Mo Hong-jin,,,Released,3629.0,1,1,0,20
South Korea,KR,2026-02-15,Films,5,The Ugly,,6,English,40961.0,movie,The Ugly,Horror|Thriller,93.0,1997-08-26,5.909,55.0,0.4945,fr,NZ,0.0,0.0,Katrina Browne|Beth Allen|Darien Takle|Paolo Rotondo|Scott Wills,1.56,Scott Reynolds,,,Released,10400.0,0,1,0,20
South Korea,KR,2026-02-15,Films,6,Troubleshooter,,1,English,56578.0,movie,Troubleshooter,Action|Crime|Drama,100.0,2010-09-12,6.682,44.0,1.1443,ko,KR,0.0,0.0,Lee Sung-min|Lee Jung-jin|Lee Young-hoon|Song Jae-ho|Sul Kyung-gu,1.37,Kwon Hyeok-jae,,,Released,5635.0,1,1,0,20
South Korea,KR,2026-02-15,Films,7,Despicable Me 4,,3,English,519182.0,movie,Despicable Me 4,Family|Comedy|Animation|Science Fiction|Action,94.0,2024-06-20,7.0,3070.0,17.1898,en,US,100000000.0,969597394.0,Sofía Vergara|Joey King|Steve Carell|Miranda Cosgrove|Will Ferrell,5.19,Chris Renaud,,,Released,605.0,0,1,0,20
South Korea,KR,2026-02-15,Films,8,특송,,1,Korean,606403.0,movie,Special Delivery,Action|Crime,109.0,2022-01-12,7.0,205.0,2.2006,ko,KR,0.0,0.0,Kim Eui-sung|Choi Deok-moon|Choi Deok-moon|Park So-dam|Yeon Woo-jin,1.6,Park Dae-min,,,Released,1495.0,1,1,0,20
South Korea,KR,2026-02-15,Films,9,The Rip,,5,English,1306368.0,movie,The Rip,Action|Thriller|Crime,113.0,2026-01-13,7.063,1202.0,78.6886,en,US,100000000.0,0.0,Ben Affleck|Matt Damon|Scott Adkins|Teyana Taylor|Sasha Calle,6.23,Joe Carnahan,,,Released,33.0,0,1,0,20
South Korea,KR,2026-02-15,Films,10,Miss Conspirator,,1,English,134000.0,movie,Miss Conspirator,Action|Comedy,115.0,2012-06-20,6.364,11.0,0.792,ko,KR,0.0,0.0,Park Shin-yang|Yoo Hai-jin|Sung Dong-il|You Chea-myung|Ko Hyun-jung,1.42,Park Chul-kwan,,,Released,4988.0,1,1,0,20
