show_title,season_title,category,lang_label,total_weeks,first_week,last_week,entry_rank,best_rank,exit_rank,avg_rank,max_cumulative
3 Body Problem,3 Body Problem: Season 1,TV,English,7,2024-03-24,2024-05-05,4,3,9,4.714285714285714,7
A Clean Sweep,A Clean Sweep 2024,TV,Korean,8,2024-04-21,2024-06-09,3,3,10,6.875,8
A Clean Sweep,A Clean Sweep: Part 2,TV,Korean,6,2023-04-23,2023-06-04,9,9,10,9.666666666666666,6
A Good Day to Be a Dog,A Good Day to Be a Dog: Limited Series,TV,Korean,6,2023-10-15,2023-11-26,3,3,10,5.666666666666667,6
A Killer Paradox,A Killer Paradox: Season 1,TV,Korean,10,2024-02-11,2024-04-14,1,1,9,4.0,10
A Time Called You,A Time Called You: Limited Series,TV,Korean,5,2023-09-10,2023-10-08,7,1,7,4.6,5
A Virtuous Business,A Virtuous Business: Limited Series,TV,Korean,7,2024-10-13,2024-11-24,7,1,5,3.0,7
A-List to Playlist,A-List to Playlist: Season 1,TV,Korean,3,2024-09-01,2024-09-15,7,4,9,6.666666666666667,3
Adolescence,Adolescence: Limited Series,TV,English,4,2025-03-16,2025-04-06,9,2,7,5.75,4
Adventure by Accident,Adventure by Accident: Season 3,TV,Korean,10,2023-12-03,2024-02-11,5,4,9,7.4,10
Adventure by Accident,Adventure by Accident: Season 4,TV,Korean,8,2025-05-18,2025-07-06,2,2,8,5.375,8
Aema,Aema: Limited Series,TV,Korean,5,2025-08-24,2025-09-21,3,2,8,4.4,5
Agency,Agency: Limited Series,TV,Other,4,2023-03-26,2023-04-16,2,2,5,3.25,4
Agents of Mystery,Agents of Mystery: Season 1,TV,Korean,4,2024-06-23,2024-07-14,2,2,7,4.0,4
Arcane,Arcane: Season 2,TV,English,4,2024-11-10,2024-12-01,7,6,8,7.0,4
As You Stood By,As You Stood By: Limited Series,TV,Korean,4,2025-11-09,2025-11-30,5,1,10,5.5,4
Attack on Titan,Attack on Titan: The Final Season Part 3,TV,Japanese,4,2023-09-17,2023-11-19,7,6,10,7.75,4
Avatar The Last Airbender,Avatar The Last Airbender: Season 1,TV,English,2,2024-02-25,2024-03-03,7,3,3,5.0,2
Baby Reindeer,Baby Reindeer: Limited Series,TV,English,2,2024-04-28,2024-05-05,7,7,10,8.5,2
Bad Memory Eraser,Bad Memory Eraser: Season 1,TV,Korean,3,2024-08-04,2024-08-18,9,4,8,7.0,3
Badly in Love,Badly in Love: Season 1,TV,Japanese,4,2025-12-14,2026-01-04,5,4,10,5.75,4
Bake Your Dream,Bake Your Dream: Season 1,TV,Korean,2,2026-02-08,2026-02-15,4,4,5,4.5,2
Baseball Queen,Baseball Queen: Season 1,TV,Korean,3,2025-11-30,2025-12-14,5,5,10,7.666666666666667,3
Battle for Happiness,Battle for Happiness: Limited Series,TV,Korean,2,2023-09-03,2023-09-10,8,8,8,8.0,2
Behind Your Touch,Behind Your Touch: Limited Series,TV,Korean,9,2023-08-13,2023-10-08,7,2,5,3.888888888888889,9
Better Late Than Single,Better Late Than Single: Season 1,TV,Korean,6,2025-07-13,2025-08-17,2,1,10,4.0,6
Beyond the Bar,Beyond the Bar: Limited Series,TV,Korean,8,2025-08-03,2025-09-21,5,1,4,2.625,8
Bitch and Rich,Bitch and Rich: Season 1,TV,Korean,5,2023-06-11,2023-07-09,10,2,8,6.2,5
Bitch and Rich,Bitch and Rich: Season 2,TV,Korean,5,2025-07-06,2025-08-03,9,4,7,6.6,5
Black Knight,Black Knight: Season 1,TV,Korean,4,2023-05-14,2023-06-04,2,1,8,3.5,4
Black Mirror,Black Mirror: Season 6,TV,English,2,2023-06-25,2023-07-02,9,8,8,8.5,2
Bloodhounds,Bloodhounds: Season 1,TV,Korean,7,2023-06-11,2023-07-23,1,1,5,3.4285714285714284,7
"Bon Appétit, Your Majesty","Bon Appétit, Your Majesty: Limited Series",TV,Korean,9,2025-08-24,2025-10-19,4,1,10,3.7777777777777777,9
Brave Detectives,Brave Detectives: Season 2,TV,Korean,8,2023-03-12,2023-05-28,8,7,9,8.75,9
Brave Detectives,Brave Detectives: Season 3,TV,Korean,2,2023-08-27,2023-09-03,9,9,9,9.0,2
Brave Detectives,Brave Detectives: Season 4: 2024,TV,Korean,4,2024-09-15,2024-10-06,8,6,8,7.25,4
Brewing Love,Brewing Love: Limited Series,TV,Korean,5,2024-11-10,2024-12-08,4,4,10,8.2,5
Bridgerton,Bridgerton: Season 3,TV,English,5,2024-05-19,2024-06-23,6,5,7,6.4,5
Bridgerton,Bridgerton: Season 4,TV,English,2,2026-02-01,2026-02-08,8,8,8,8.0,2
Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,TV,Korean,5,2026-01-18,2026-02-15,1,1,7,3.2,5
Captivating the King,Captivating the King: Limited Series,TV,Korean,7,2024-01-28,2024-03-10,2,2,4,3.4285714285714284,7
Cashero,Cashero: Limited Series,TV,Korean,3,2025-12-28,2026-01-11,2,2,7,3.6666666666666665,3
Castaway Diva,Castaway Diva: Limited Series,TV,Korean,7,2023-10-29,2023-12-10,7,1,10,5.142857142857143,7
Celebrity,Celebrity: Limited Series,TV,English,5,2023-07-02,2023-07-30,5,1,8,3.4,5
Chainsaw Man,Chainsaw Man: Season 1,TV,Japanese,6,2025-10-05,2025-11-09,9,6,10,7.666666666666667,6
Check in Hanyang,Check in Hanyang: Limited Series,TV,Korean,4,2024-12-29,2025-01-19,6,6,10,7.75,4
Chef & My Fridge,Chef & My Fridge 2025,TV,Korean,7,2024-12-22,2025-02-09,2,2,8,6.285714285714286,7
Chicken Nugget,Chicken Nugget: Limited Series,TV,Korean,6,2024-03-17,2024-04-21,2,2,7,4.666666666666667,6
Comedy Revenge,Comedy Revenge: Season 1,TV,Korean,2,2024-10-20,2024-10-27,4,4,8,6.0,2
Comedy Royale,Comedy Royale: Season 1,TV,Korean,2,2023-12-03,2023-12-10,2,2,7,4.5,2
Crash Course in Romance,Crash Course in Romance: Limited Series,TV,Korean,6,2023-03-05,2023-04-09,1,1,10,5.166666666666667,12
Crime Scene Zero,Crime Scene Zero: Season 1,TV,Korean,5,2025-09-28,2025-10-26,1,1,8,3.6,5
