feature,coefficient,odds_ratio
genre_action,0.38392255816060195,1.4680317502007771
is_korean,0.3436604890285793,1.4100998098727495
lang_ko,0.3436604890285793,1.4100998098727495
is_sequel,0.24919109765795494,1.2829871854913721
genre_thriller,0.1989732382174314,1.220149312092346
lang_en,0.145005522849444,1.1560459549181503
genre_drama,0.1222768467418026,1.1300669138209338
genre_comedy,0.11952026841327722,1.126956085447411
tmdb_popularity,0.10420474995013426,1.1098276688136188
tmdb_rating,0.04904297537696717,1.0502654853253308
genre_horror,0.03708292283399773,1.0377790728520537
is_recent,0.02898764078612388,1.0294118716750205
genre_mystery,0.0236561366923672,1.0239381625840496
genre_crime,0.005892162247158761,1.0059095551790112
lang_ja,-0.03828326901314182,0.9624402727675329
genre_count,-0.11028513105806731,0.8955787415737498
log_days_since_release,-0.18886419965014833,0.8278989280252005
genre_romance,-0.24842211727133695,0.78003060938177
is_film,-0.47961733696315767,0.6190202226483117
