show_title,season_title,category,max_weeks,best_rank,entry_rank,tmdb_id,tmdb_rating,tmdb_vote_count,tmdb_popularity,genres,original_language,runtime_minutes,days_since_release,is_korean,is_sequel,budget_usd,avg_cast_popularity,first_week,is_breakout,lang_label
12.12: The Day,,Films,12,1,6,919207.0,7.486,141.0,2.6725,Drama|Thriller|Action|War|History|Crime,ko,142.0,172.0,1,0,0.0,2.14,2024-05-12,1,Korean
13 Hours: The Secret Soldiers of Benghazi,,Films,4,10,10,300671.0,7.273,3855.0,7.7278,War|Action|History|Drama|Thriller,en,144.0,2859.0,0,0,50000000.0,3.68,2023-11-12,1,English
14 Blades,,Films,2,5,5,34179.0,6.3,208.0,2.2694,Drama|Action|Thriller,zh,114.0,4784.0,0,0,20000000.0,2.91,2023-03-12,0,Other
1987: When the Day Comes,,Films,1,9,9,437103.0,8.113,173.0,1.731,Drama|History|Thriller,ko,129.0,2174.0,1,0,12308000.0,2.57,2023-12-10,0,Korean
200 Pounds Beauty,,Films,1,4,4,18377.0,6.811,342.0,1.3828,Drama|Comedy|Romance,ko,116.0,6317.0,1,0,4000000.0,1.41,2024-03-31,0,Korean
28 Weeks Later,,Films,2,3,4,1562.0,6.606,5363.0,10.3649,Horror|Thriller|Science Fiction,en,99.0,6632.0,0,0,15000000.0,4.3,2025-06-22,0,English
28 Years Later,,Films,4,2,8,1272837.0,7.218,435.0,227.7669,Horror|Thriller|Science Fiction,en,109.0,-87.0,0,0,63000000.0,6.57,2025-10-19,1,English
3 Body Problem,3 Body Problem: Season 1,TV,7,3,9,108545.0,7.46,1383.0,22.1608,Sci-Fi & Fantasy|Mystery|Drama,en,,3.0,0,0,,3.19,2024-03-24,1,English
6/45,,Films,2,5,7,821153.0,6.793,46.0,1.2011,Comedy,ko,113.0,1047.0,1,0,0.0,1.95,2025-07-06,0,Korean
65,,Films,4,1,8,700391.0,5.959,2747.0,4.6357,Action|Adventure|Science Fiction,en,92.0,171.0,0,0,45000000.0,1.85,2023-08-20,1,English
96 Minutes,,Films,2,3,3,1271895.0,5.852,54.0,78.251,Action|Crime|Romance,zh,117.0,149.0,0,0,0.0,1.57,2026-02-01,0,Other
A Chinese Odyssey (Part I),,Films,1,9,9,13345.0,7.554,298.0,2.8863,Action|Adventure|Fantasy|Comedy|Romance,cn,88.0,11215.0,0,0,0.0,2.4,2025-10-05,0,Other
A Clean Sweep,A Clean Sweep 2024,TV,8,3,10,203552.0,5.0,2.0,2.3046,Reality,ko,110.0,685.0,1,0,,0.36,2024-04-21,1,Korean
A Clean Sweep,A Clean Sweep: Part 2,TV,6,9,10,203552.0,5.0,2.0,2.3046,Reality,ko,110.0,321.0,1,0,,0.36,2023-04-23,1,Korean
A Company Man,,Films,3,4,8,134126.0,6.846,195.0,1.4935,Drama|Action|Crime|Thriller,ko,96.0,4630.0,1,0,3500000.0,1.47,2025-06-15,0,Korean
A Family Affair,,Films,3,3,8,987686.0,5.739,700.0,3.0565,Romance|Comedy,en,114.0,3.0,0,0,0.0,5.15,2024-06-30,0,English
A Good Day to Be a Dog,A Good Day to Be a Dog: Limited Series,TV,6,3,10,209502.0,8.2,88.0,6.1582,Drama|Comedy|Sci-Fi & Fantasy,ko,,4.0,1,0,,2.25,2023-10-15,1,Korean
A Good Son,,Films,2,6,8,270168.0,4.1,8.0,0.0527,,en,12.0,9798.0,0,0,0.0,0.76,2025-04-20,0,English
A HOUSE OF DYNAMITE,,Films,5,2,9,1290159.0,6.401,1108.0,5.4019,Thriller,en,112.0,24.0,0,0,0.0,4.7,2025-10-26,1,English
A Killer Paradox,A Killer Paradox: Season 1,TV,10,1,9,202783.0,7.4,174.0,10.9444,Crime|Comedy|Mystery|Drama,ko,,2.0,1,0,,1.97,2024-02-11,1,Korean
A Man Called Otto,,Films,4,4,7,937278.0,7.751,3461.0,5.8572,Comedy|Drama,en,126.0,214.0,0,0,50000000.0,5.9,2023-07-30,1,English
A Man of Reason,,Films,3,1,5,656156.0,6.647,109.0,1.3558,Action|Thriller|Drama,ko,99.0,264.0,1,0,0.0,1.48,2024-05-05,0,Korean
A Normal Woman,,Films,1,9,9,1285728.0,5.852,61.0,0.8196,Thriller|Drama|Horror,id,110.0,11.0,0,0,0.0,1.47,2025-08-03,0,Other
A Place Called Silence,,Films,1,9,9,1300945.0,6.857,42.0,1.5188,Crime|Mystery|Thriller,zh,119.0,130.0,0,0,0.0,2.59,2024-11-10,0,Other
A Quiet Place: Day One,,Films,2,3,3,762441.0,6.665,3187.0,9.3517,Horror|Science Fiction|Thriller,en,100.0,578.0,0,0,67000000.0,3.3,2026-01-25,0,English
A Time Called You,A Time Called You: Limited Series,TV,5,1,7,196474.0,8.3,191.0,5.7237,Drama,ko,,2.0,1,0,,1.85,2023-09-10,1,Korean
A Time to Kill,,Films,1,6,6,1645.0,7.385,2863.0,4.8987,Crime|Drama|Thriller,en,149.0,10707.0,0,0,40000000.0,5.27,2025-11-16,0,English
A Tour Guide,,Films,2,5,5,1550138.0,0.0,0.0,0.0286,Documentary,en,25.0,-605.0,0,0,0.0,0.22,2024-01-21,0,English
A Virtuous Business,A Virtuous Business: Limited Series,TV,7,1,5,255086.0,8.115,48.0,5.5662,Drama|Comedy,ko,70.0,1.0,1,0,,1.67,2024-10-13,1,Korean
A Widow's Game,,Films,2,4,4,1397832.0,6.245,257.0,3.6292,Thriller|Mystery,es,122.0,2.0,0,0,0.0,2.43,2025-06-01,0,Other
A-List to Playlist,A-List to Playlist: Season 1,TV,3,4,9,248123.0,9.333,3.0,4.4567,Reality,ko,,2.0,1,0,,2.58,2024-09-01,0,Korean
AKA,,Films,3,2,5,1102776.0,6.858,673.0,1.8289,Action,fr,122.0,2.0,0,0,0.0,1.78,2023-04-30,0,Other
Abigail,,Films,3,2,10,1111873.0,6.7,1916.0,9.9555,Horror|Thriller,en,109.0,215.0,0,0,28000000.0,3.36,2024-11-17,0,English
About Family,,Films,9,1,10,1064205.0,6.938,8.0,1.0592,Drama|Comedy,ko,107.0,123.0,1,0,0.0,1.69,2025-04-13,1,Korean
Accident Man: Hitman's Holiday,,Films,1,8,8,879444.0,6.7,231.0,1.9983,Action|Comedy|Crime,en,96.0,786.0,0,0,0.0,2.89,2024-12-08,0,English
Ad Vitam,,Films,3,4,9,1261501.0,6.229,422.0,3.512,Thriller|Drama|Crime|Action,fr,97.0,3.0,0,0,0.0,1.23,2025-01-12,0,Other
Adipurush,,Films,1,9,9,734253.0,4.68,103.0,1.6658,Action|Adventure|Fantasy,hi,179.0,65.0,0,0,63000000.0,2.9,2023-08-20,0,Other
Adolescence,Adolescence: Limited Series,TV,4,2,7,249042.0,7.9,1420.0,12.1941,Drama|Crime,en,,3.0,0,0,,0.0,2025-03-16,1,English
Adventure by Accident,Adventure by Accident: Season 3,TV,10,4,9,216150.0,7.0,5.0,2.8012,Reality,ko,,357.0,1,1,,0.66,2023-12-03,1,Korean
Adventure by Accident,Adventure by Accident: Season 4,TV,8,2,8,216150.0,7.0,5.0,2.8012,Reality,ko,,889.0,1,1,,0.66,2025-05-18,1,Korean
Aema,Aema: Limited Series,TV,5,2,8,229958.0,7.7,15.0,2.1883,Drama|Comedy,ko,59.0,2.0,1,0,,1.26,2025-08-24,1,Korean
Agency,Agency: Limited Series,TV,4,2,5,66502.0,5.7,3.0,13.4262,Talk|Reality,zh,50.0,2550.0,0,0,,1.94,2023-03-26,1,Other
Agents of Mystery,Agents of Mystery: Season 1,TV,4,2,7,240114.0,7.4,22.0,4.5264,Reality,ko,,5.0,1,0,,1.66,2024-06-23,1,Korean
Akira,,Films,1,6,6,149.0,7.94,4638.0,7.2631,Animation|Science Fiction|Action,ja,124.0,13498.0,0,0,5700000.0,2.15,2025-05-25,0,Japanese
Alice in Borderland,Alice in Borderland: Season 3,TV,1,10,10,110316.0,8.114,2607.0,34.0508,Mystery|Drama|Action & Adventure,ja,,1753.0,0,1,,1.77,2025-09-28,0,Japanese
Alienoid Part 1,,Films,9,2,7,601796.0,6.8,504.0,5.0363,Science Fiction|Action|Fantasy|Adventure,ko,142.0,536.0,1,0,24500000.0,1.98,2024-01-07,1,Korean
Alienoid: Return to the Future,,Films,3,2,7,626412.0,6.6,825.0,2.4503,Action|Fantasy|Adventure|Science Fiction,ko,122.0,368.0,1,0,0.0,1.87,2025-01-12,0,Korean
Almost Cops,,Films,2,8,8,1374534.0,5.908,169.0,5.5073,Action|Comedy|Crime|Mystery,nl,95.0,3.0,0,0,0.0,2.08,2025-07-13,0,Other
Amazon Bullseye,,Films,6,1,9,1148558.0,6.4,18.0,0.9507,Comedy|Drama,ko,113.0,88.0,1,0,0.0,1.65,2025-01-26,1,Korean
Anemone: A Fairy Tale for No Kids,,Films,2,2,8,1006124.0,7.0,1.0,0.214,Comedy|Drama|Action,ko,77.0,312.0,1,0,0.0,0.98,2024-12-15,0,Korean
